Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
surviving-christmas-vhs-floor-sale-holiday,Surviving Christmas,,VHS,Media > Videos,"Floor Sale, VHS, Holiday, Formatted",Genre,Holiday,shopify,1,deny,manual,5.00,47891962,,,,holiday
canadian-bacon-vhs-floor-sale-comedy,Canadian Bacon,"<p>The U.S. President, low in the opinion polls, gets talked into raising his popularity by trying to start a cold war with Canada.</p>",VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,6.00,47859194,https://image.tmdb.org/t/p/w1280/bzK2aQ8xUB67kwCR5LHTSY99HtT.jpg,,Canadian Bacon (1995) poster,comedy
from-russia-with-love-vhs-floor-sale-action,From Russia With Love,"<p>Agent 007 is back in the second installment of the James Bond series, this time battling a secret crime organization known as SPECTRE. Russians Rosa Klebb and Kronsteen are out to snatch a decoding device known as the Lektor, using the ravishing Tatiana to lure Bond into helping them. Bond willingly travels to meet Tatiana in Istanbul, where he must rely on his wits to escape with his life in a series of deadly encounters with the enemy.</p>",VHS,Media > Videos,"Floor Sale, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,6.00,47826426,https://image.tmdb.org/t/p/w1280/zx4V17FP8oclNvOpTgs2iCCtiYk.jpg,,From Russia With Love (1963) poster,action
at-home-with-the-webbers-vhs-floor-sale-comedy,At Home With the Webbers,"<p>AT HOME WITH THE WEBBERS explores what happens when a typical American family is turned into a hot, new, totally uncensored TV show. Viewers get hooked on the real-life soap, while the Webbers grapple with their unexpected fame.</p>",VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,5.00,47793658,https://image.tmdb.org/t/p/w1280/l1w5UXhLnS6nOKv6Zej8y2xqZ8b.jpg,,At Home With the Webbers (1993) poster,comedy
brainstorm-vhs-floor-sale-sci-fi,Brainstorm,,VHS,Media > Videos,"Floor Sale, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,6.00,47760890,,,,sci-fi
devil-in-a-blue-dress-vhs-floor-sale-drama,Devil in a Blue Dress,"<p>In late 1940s Los Angeles, Easy Rawlins is an unemployed black World War II veteran with few job prospects. At a bar, Easy meets DeWitt Albright, a mysterious white man looking for someone to investigate the disappearance of a missing white woman named Daphne Monet, who he suspects is hiding out in one of the city's black jazz clubs. Strapped for money and facing house payments, Easy takes the job, but soon finds himself in over his head.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,6.00,47728122,https://image.tmdb.org/t/p/w1280/yZ9vNEKOkd0GWWozsopW3SqflYQ.jpg,,Devil in a Blue Dress (1995) poster,drama
total-recall-vhs-floor-sale-sci-fi,Total Recall,,VHS,Media > Videos,"Floor Sale, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,8.00,47695354,,,,sci-fi
say-anything-vhs-floor-sale-romantic-comedy,Say Anything,"<p>Average student and eternal optimist Lloyd Dobler seeks to capture the heart of Diane Court, a beautiful but unattainable valedictorian classmate. He surprises just about everyone - including himself - when she returns the sentiment. However, Diane's divorced, over-protective father soon begins to disapprove of the match, and Lloyd realises that it's going to take more than just the power of love to conquer all.</p>",VHS,Media > Videos,"Floor Sale, VHS, Romantic Comedy, Formatted",Genre,Romantic Comedy,shopify,1,deny,manual,8.00,47662586,https://image.tmdb.org/t/p/w1280/nkucKciFGSRalw6dJtsglWqOXMC.jpg,,Say Anything (1989) poster,romantic-comedy
boys-dont-cry-vhs-floor-sale-drama,Boys Don't Cry,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,8.00,47629818,,,,drama
dead-connection-vhs-floor-sale-horror,Dead Connection,"<p>After a series of murders in motel rooms are connected, police detective Matt Dickson heads out on the trail to find a serial killer. He discovers that he signs the motel guest-books with the names of boxers, and gets a lead on him. However, just when he fails to catch up and arrest him, the chase becomes personal.</p>",VHS,Media > Videos,"Floor Sale, VHS, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,7.00,47597050,https://image.tmdb.org/t/p/w1280/jmjXjtr2L8J4B8RUhX3Z5ub5PqI.jpg,,Dead Connection (1994) poster,horror
