Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
tall-tales-legends-annie-oakley-vhs-rental-drama,Tall Tales & Legends: Annie Oakley,,VHS,Media > Videos,"Rental, VHS, Drama, Supercycle product, Formatted",Genre,Drama,shopify,1,deny,manual,0,20144890,,,,drama
the-kitchen-soto-vhs-rental-drama,The Kitchen Soto,,VHS,Media > Videos,"Rental, VHS, Drama, Supercycle product, Formatted",Genre,Drama,shopify,1,deny,manual,0,20013818,,,,drama
far-from-heaven-vhs-rental-drama,Far From Heaven,,VHS,Media > Videos,"Rental, VHS, Drama, Supercycle product, Formatted",Genre,Drama,shopify,1,deny,manual,0,19948282,,,,drama
the-survivors-vhs-rental-comedy,The Survivors,,VHS,Media > Videos,"Rental, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,19784442,,,,comedy
the-incredibly-true-adventures-of-2-girls-in-love-vhs-rental-comedy,The Incredibly True Adventures of 2 Girls in Love,,VHS,Media > Videos,"Rental, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,19456762,,,,comedy
smart-money-vhs-rental-drama,Smart Money,,VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,95994874,,,,drama
mussolini-and-i-vhs-rental-drama,Mussolini and I,,VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,95601658,,,,drama
easy-money-vhs-rental-comedy,Easy Money,,VHS,Media > Videos,"Rental, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,95536122,,,,comedy
working-girl-vhs-rental-comedy,Working Girl,,VHS,Media > Videos,"Rental, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,95339514,,,,comedy
a-fool-and-his-money-vhs-rental-romantic-comedy,A Fool and His Money,,VHS,Media > Videos,"Rental, VHS, Romantic Comedy, Formatted",Genre,Romantic Comedy,shopify,1,deny,manual,0,95306746,,,,romantic-comedy
