Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Country (product.metafields.custom.country),Decade (product.metafields.custom.decade),Director (product.metafields.custom.director),Format (product.metafields.custom.format),Genres (product.metafields.custom.genres),Media condition (product.metafields.custom.media_condition),Runtime (min) (product.metafields.custom.runtime),Staff pick note (product.metafields.custom.staff_pick_note),Year (product.metafields.custom.year),Rental Availability (product.metafields.scf.avf),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target audience (product.metafields.shopify.target-audience),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-mummy-collectors-set-dvd-floor-sale-action,The Mummy Collector's Set,"<p>The Mummy Collector's Set gathers The Mummy (1999), The Mummy Returns (2001), and The Scorpion King (2002), the adventure-fantasy films that launched the modern Mummy franchise.</p>",DVD,Media > Videos,,"Action, DVD, Floor Sale, Formatted",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,14.00,,false,false,,,,,27008762,,,,false,,,,,,,,,,,,,,action,,,,,,,,,,,,,,lb,,,active
mission-impossible-6-movie-collection-bluray-floor-sale-action,Mission: Impossible 6 Movie Collection,<p>A 6-movie collection spanning the Mission: Impossible spy-action franchise starring Tom Cruise as agent Ethan Hunt.</p>,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Floor Sale, Formatted",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,18.00,,false,false,,,,,95890170,,,,false,,,,,,,,,,,,,,action,,,,,,,,,,,,,,lb,,,active
the-three-muskateers-bluray-floor-sale-action,The Three Muskateers,<p>the three musketeers</p>,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Floor Sale, Formatted",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,false,false,,,,,94776058,,,,false,,,,,,,,,,,,,,action,,,,,,,,,,,,,,lb,,,active
trilogy-commando-predator-terminator-bluray-floor-sale-action,"Trilogy: Commando, Predator, Terminator","<p>A collection pairing three Arnold Schwarzenegger action classics: Commando (1985), Predator (1987), and The Terminator (1984).</p>",Blu-Ray,Media > Videos,,"Action, Blu-Ray, Floor Sale, Formatted",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,15.00,,false,false,,,,,61791738,,,,false,,,,,,,,,,,,,,action,,,,,,,,,,,,,,lb,,,active
the-bourne-trilogy-bluray-floor-sale-action,The Bourne Trilogy,,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Floor Sale, Formatted",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,false,false,,,,,59858426,,,,false,,,,,,,,,,,,,,action,,,,,,,,,,,,,,lb,,,active
double-feature-first-wives-club-sliding-doors-dvd-floor-sale-comedy-drama,"Double Feature: First Wives Club, Sliding Doors",,DVD,Media > Videos,,"Comedy, Drama, DVD, Floor Sale, Formatted",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,false,false,,,,,52241402,,,,false,,,,,,,,,,,,,,comedy; drama,,,,,,,,,,,,,,lb,,,active
captain-america-3-movie-collection-3d-bluray-floor-sale-action,Captain AMerica: 3 Movie Collection (3D),"<p>A 3D collection of the Captain America trilogy: The First Avenger (2011), The Winter Soldier (2014), and Civil War (2016), starring Chris Evans.</p>",Blu-Ray,Media > Videos,,"Action, Blu-Ray, Floor Sale, Formatted",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,12.00,,false,false,,,,,45225210,,,,false,,,,,,,,,,,,,,action,,,,,,,,,,,,,,lb,,,active
national-geographic-ocean-drifters-floor-sale-kids-family,National Geographic: Ocean Drifters,,VHS,Media > Videos,,"Floor Sale, Formatted, Kids & Family, VHS",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,false,false,,,,,30759674,,,,false,,,,,,,,,,,,,,kids-family,,,,,,,,,,,,,,lb,,,active
livin-the-blues-vhs-floor-sale-thriller,Livin' the Blues,,VHS,Media > Videos,,"Floor Sale, Formatted, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,24.00,,false,false,,,,,21635322,,,,false,,,,,,,,,,,,,,thriller,,,,,,,,,,,,,,lb,,,active
prince-caspian-and-the-voyage-of-the-dawn-treader-vhs-floor-sale-kids-family,Prince Caspian and the Voyage of the Dawn Treader,,VHS,Media > Videos,,"Floor Sale, Formatted, Kids & Family, VHS",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,false,false,,,,,29060090,,,,false,,,,,,,,,,,,,,kids-family,,,,,,,,,,,,,,lb,,,active
sister-act-ii-vhs-floor-sale-comedy,Sister Act II,"<p>Sister Act 2: Back in the Habit is a 1993 musical comedy film starring Whoopi Goldberg, a sequel to the 1992 hit Sister Act.</p>",VHS,Media > Videos,,"Comedy, Floor Sale, Formatted, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,false,false,,,,,66997498,,,,false,,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,lb,,,active
easier-said-vhs-floor-sale-comedy,Easier Said,"<p>Jack gets fed up with his publishing job in New York and his girlfriend and moves to Colorado, where he plans to write a novel. There he takes over his uncle's lodge and cafe, but runs into unusual problems with the oddball locals.</p>",VHS,Media > Videos,,"Comedy, Floor Sale, Formatted, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,false,false,,,,,12618490,,,,false,,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,lb,,,active
provovateur-vhs-floor-sale-thriller,Provovateur,,VHS,Media > Videos,,"Floor Sale, Formatted, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,15.00,,false,false,,,,,30315514,,,,false,,,,,,,,,,,,,,thriller,,,,,,,,,,,,,,lb,,,active
