Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Country (product.metafields.custom.country),Decade (product.metafields.custom.decade),Director (product.metafields.custom.director),Format (product.metafields.custom.format),Genres (product.metafields.custom.genres),Media condition (product.metafields.custom.media_condition),Runtime (min) (product.metafields.custom.runtime),Staff pick note (product.metafields.custom.staff_pick_note),Year (product.metafields.custom.year),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target audience (product.metafields.shopify.target-audience),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Supercycle Methods (product.metafields.supercycle.methods),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
kundun-dvd-rental-drama,Kundun,"<p>From childhood to adulthood, Tibet's fourteenth Dalai Lama deals with Chinese oppression and other problems.</p>",DVD,Media > Videos,,"Drama, DVD, Formatted, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,96076026,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/yvdFRDoQIQ5PBk4u8x8gJT8NJAw.jpg?v=1788381295,1,Kundun (1997) poster,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active
cyborg-dvd-rental-action,Cyborg,<p>A martial artist hunts a killer in a plague-infested urban dump of the future.</p>,DVD,Media > Videos,,"Action, DVD, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,95977722,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/nOspcG8HP6KPdMvzezavRbzYCEw_e56ea6c4-724c-4d8a-adde-cdd0be1ec440.jpg?v=1788381295,1,Cyborg (1989) poster,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
the-dead-one-dvd-rental-horror,The Dead One,"<p>Trapped between the living and the dead, Diego de la Muerte fights to rescue his soul from the evil god of death that controls him. But a bigger battle awaits him when the Aztec god demands the soul of Maria, the girlfriend Diego left behind.</p>",DVD,Media > Videos,,"DVD, Formatted, Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,95879418,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/yi5eJhCIDNOqVXw2Py6vK3dMGzT.jpg?v=1789452523,1,The Dead One poster,false,,,,,,,,,,,,,horror,,,,,,,,,,,,,,,lb,,,active
universal-soldier-dvd-rental-action,Universal Soldier,"<p>An American soldier who had been killed during the Vietnam War is revived 25 years later by the military as a semi-android, UniSols, a high-tech soldier of the future. After the failure of the initiative to erase all the soldier's memories, he begins to experience flashbacks that are forcing him to recall his past.</p>",DVD,Media > Videos,,"Action, DVD, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,95781114,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/fp0mWrHl1SW9PhP8QcsgYPoVYFc.jpg?v=1788381832,1,Universal Soldier poster,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
island-in-the-sun-dvd-rental-drama,Island in the Sun,"<p>A scandalous tale of politics, social inequality, interracial romance, and murder set on a fictitious British-owned Caribbean island.</p>",DVD,Media > Videos,,"Drama, DVD, Formatted, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,95715578,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/edwem9j28FpivnydLlDCchc5WCy.jpg?v=1788381295,1,Island in the Sun (1957) poster,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active
sybil-dvd-rental-drama,Sybil,<p>A true story of a young woman whose abusive childhood results in her developing a multiple personality disorder.</p>,DVD,Media > Videos,,"Drama, DVD, Formatted, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,95584506,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/rCO7uL61kh71kniTlcaTADLhFSm.jpg?v=1788381294,1,Sybil (2007) poster,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active
the-final-countdown-dvd-rental-drama,The Final Countdown,"<p>During routine manoeuvres near Hawaii in 1980, the aircraft-carrier USS Nimitz is caught in a strange vortex-like storm, throwing the ship back in time to 1941—mere hours before the Japanese attack on Pearl Harbor.</p>",DVD,Media > Videos,,"Drama, DVD, Formatted, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,95486202,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/nJmWPdreWnbdjMpmXB5rnJMvsK1.jpg?v=1788381293,1,The Final Countdown (1980) poster,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active
hot-war-dvd-rental-foreign,Hot War,"<p>Blue, Tango, and C.S. are CIA research scientists working on Project VR Fighter, which is designed to train any unskilled person into a magnificent combat agent. Tango and C.S. decide to undergo the training themselves, because Alien, the international terrorist, has killed C.S.’s fiancée and kidnapped Blue for his conspiracy. However, the side effects of Project VR Fighter cause problems between the two friends and their mission is soon put into jeopardy.</p>",DVD,Media > Videos,,"DVD, Foreign, Formatted, Rental",true,Genre,Foreign,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,95256826,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/vYPvxB22pehLDwMtDPdzyBaKT0T.jpg?v=1788381292,1,Hot War (1998) poster,false,,,,,,,,,,,,,foreign,,,,,,,,,,,,,,,lb,,,active
the-conman-dvd-rental-foreign,The Conman,"<p>A man kills an assassin by accident and when he gets out of prison, the victim's brother attempts to avenge his death.</p>",DVD,Media > Videos,,"DVD, Foreign, Formatted, Rental",true,Genre,Foreign,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,95191290,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/6532HnBleBLgaCmrdAO1CHsl6Ji.jpg?v=1788381291,1,The Conman (1998) poster,false,,,,,,,,,,,,,foreign,,,,,,,,,,,,,,,lb,,,active
the-legend-of-zorro-dvd-rental-action,The Legend of Zorro,"<p>Despite trying to keep his swashbuckling to a minimum, a threat to California's pending statehood causes the adventure-loving Don Alejandro de la Vega and his wife, Elena, to take action.</p>",DVD,Media > Videos,,"Action, DVD, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,95060218,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/93iEBX1QbsxAv8eSybe8lhLXY1A.jpg?v=1788381290,1,The Legend of Zorro (2005) poster,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
