Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cocoon-the-return-vhs-floor-sale-sci-fi,Cocoon The Return,,VHS,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,98262778,,,,false,,,,,,,,,,lb,,,active
cocoon-the-return-vhs-rental-sci-fi,Cocoon the Return,,VHS,,,"Rental, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,26463482,,,,false,,,,,,,,,,lb,,,active
collateral-damage-vhs-rental-action,Collateral Damage,,VHS,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,80625402,,,,false,,,,,,,,,,lb,,,active
con-air-vhs-floor-sale-action,Con Air,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,67997178,,,,false,,,,,,,,,,lb,,,active
congo-vhs-rental-action,Congo,,VHS,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78578170,,,,false,,,,,,,,,,lb,,,active
contact-vhs-floor-sale-sci-fi,Contact,,VHS,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,69078522,,,,false,,,,,,,,,,lb,,,active
contact-vhs-rental-sci-fi,Contact,,VHS,,,"Rental, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78479866,,,,false,,,,,,,,,,lb,,,active
covert-action-vhs-floor-sale-action,Covert Action,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,9.00,,true,true,,,,,56642810,,,,false,,,,,,,,,,lb,,,active
crazy-beautiful-vhs-floor-sale-romantic-comedy,Crazy/Beautiful,,VHS,,,"Floor Sale, Romantic Comedy",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,68062714,,,,false,,,,,,,,,,lb,,,active
crocodile-dundee-vhs-rental-comedy,Crocodile Dundee,,VHS,,,"Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,80920314,,,,false,,,,,,,,,,lb,,,active
