title,creators,description,upc_isbn10,ean_isbn13,number_of_discs,ensemble,aspect_ratio,tags,notes,group,price,added,publisher,publish_date,length_of,copies,call_number,ddc,lcc,rating,review,review_created,status,began_date,completed_date
City of Angels,,"When a guardian angel – who invisibly watches over the citizens of Los Angeles – becomes captivated by a strong-willed heart surgeon, he ponders trading in his pure, otherworldly existence for a mortal life with his beloved. The couple embarks on a tender but forbidden romance spanning heaven and Earth.",,,,,,"VHS, drama",,,0.00,,,,,1,07663866,,,,,,,,
Clash of the Titans,,"Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny.",,,,,,"DVD, fantasy",,,0.00,,,,,1,72216314,,,,,,,,
Crash,,"In post-Sept. 11 Los Angeles, tensions erupt when the lives of a Brentwood housewife, her district attorney husband, a Persian shopkeeper, two cops, a pair of carjackers and a Korean couple converge during a 36-hour period.",,,,,,"DVD, drama",,,0.00,,,,,1,93854458,,,,,,,,
Criminal,,"Needing a new partner capable of intricate cons, Richard Gaddis, recruits Rodrigo, a crook with a perfect poker face. The two plan a big-time scam: selling a fake Silver Certificate to currency collector William Hannigan. Rodrigo distrusts his new associate, but needs money to help out his ill father. The situation becomes more complicated when Rodrigo falls for Gaddis' sister, Valerie, drawing another player into the game.",,,,,,"DVD, action",,,0.00,,,,,1,19795962,,,,,,,,
Crimson Force,,"The crew of the first manned mission to Mars crash land on the surface in search of a clean everlasting power source they believe to be hidden somewhere beneath the ground. However, the crew find themselves in the middle of a civil war between the High Priest of Mars' royal guards and the High Priestess' warriors. The crew is divided with one half deciding to help the High Priest make peace with Earth and the other side with the High Priestess who is secretly plotting to kill her husband and invade Earth.",,,,,,"DVD, sci-fi",,,0.00,,,,,1,06765562,,,,,,,,
Cry Wolf,,"After a local woman is murdered, a group of teenage liars create a warning e-mail of a serial killer named “The Wolf”, coming on the next full moon. The teens describe each death method The Wolf uses, but when the described victims actually do start turning up dead, suddenly no one knows where the lies end and the truth begins.",,,,,,"DVD, horror",,,0.00,,,,,1,62393850,,,,,,,,
Dancing on Ice,,"New Year 1996. The Balkans are shaken by nationalist wars, after the overthrow of socialist regimes. The wars have resulted in economic crisis and large population displacements. Three women, unknown to each other, from different Eastern European countries, meet in a border town in Bulgaria, in order to cross illegally into Greece.",,,,,,"DVD, kids-family",,,0.00,,,,,1,96183546,,,,,,,,
Danny and the Dinosaur,,The adventures of a little boy named Danny and a tall dinosaur from a local museum.,,,,,,"DVD, kids-family",,,0.00,,,,,1,51948794,,,,,,,,
Dear Mr. Gacy,,"A chronicle of the interaction between college student Jason Moss and the object of his obsession, serial killer John Wayne Gacy.",,,,,,"DVD, thriller",,,0.00,,,,,1,47852794,,,,,,,,
Dementia 13,,"A scheming widow hatches a bold plan to acquire her late husband's inheritance, unaware that she is being targeted by an ax murderer who lurks in the family's estate.",,,,,,"DVD, horror",,,0.00,,,,,1,62426618,,,,,,,,
