Reason,Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Waitlist Emails (product.metafields.custom.waitlist_emails),Art style (product.metafields.shopify.art-style),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Media format (product.metafields.shopify.media-format),Neckline (product.metafields.shopify.neckline),Orientation (product.metafields.shopify.orientation),Sleeve length type (product.metafields.shopify.sleeve-length-type),Theme (product.metafields.shopify.theme),Tote handle type (product.metafields.shopify.tote-handle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
no description; no image,deception-dvd-floor-sale-thriller,Deception,,DVD,Media > Videos,,"DVD, Floor Sale, Formatted, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,48383738,,,,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
no description; no image,decoy-vhs-floor-sale-thriller,Decoy,,VHS,Media > Videos,,"Floor Sale, Formatted, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,25714682,,,,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
no description; no image,deep-blue-sea-deep-blue-sea-2-dvd-rental-horror,Deep Blue Sea / Deep Blue Sea 2,,DVD,Media > Videos,,"DVD, Formatted, Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,03520762,,,,false,,,,,,,horror,,,,,,,,,,,,lb,,,active
no description; no image,deep-blue-sea-limited-edition-blu-ray-bluray-floor-sale-sci-fi,Deep Blue Sea [Limited Edition] [Blu-ray],,Blu-ray,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,45.00,,true,true,,,,,91714810,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
no description; no image,deep-blue-sea-standard-edition-4k-ultra-hd-4k-floor-sale-horror,Deep Blue Sea (Standard Edition) [4K Ultra HD],,4K,,,"Floor Sale, Horror",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,45.00,,true,true,,,,,92009722,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
no description,deep-blue-sea-vhs-floor-sale-sci-fi,Deep Blue Sea,,VHS,Media > Videos,,"Floor Sale, Formatted, Sci-Fi, VHS",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,86398458,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/fyn0zyCI4kIlbDoHH0Hzv09hDC5_58927e68-d0fa-4f56-b6ef-844cd646e32b.jpg?v=1787922236,1,Deep Blue Sea (1999) poster,false,,,,,,,sci-fi,,,,,,,,,,,,lb,,,active
no description; no image,deep-impact-bluray-floor-sale-sci-fi,Deep Impact,,Blu-Ray,Media > Videos,,"Blu-Ray, Floor Sale, Formatted, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,48350970,,,,false,,,,,,,sci-fi,,,,,,,,,,,,lb,,,active
no description; no image,deep-impact-vhs,Deep Impact,,VHS,Media > Videos,,"Action, Floor Sale, Formatted, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,56697338,,,,false,,,,,,,action,,,,,,,,,,,,lb,,,active
no description; no image,deep-rising-vhs-rental-action,Deep Rising,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,38166266,,,,false,,,,,,,action,,,,,,,,,,,,lb,,,active
no description; no image,defiance-dvd-floor-sale-action,Defiance,,DVD,Media > Videos,,"Action, DVD, Floor Sale, Formatted",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,48285434,,,,false,,,,,,,action,,,,,,,,,,,,lb,,,active
