call_number,barcode_status,content_status,message
29542394,updated,updated,barcode: ok | content: changed: poster
20366330,updated,updated,barcode: ok | content: changed: poster
82533882,updated,updated,barcode: ok | content: changed: poster
48367866,updated,updated,barcode: ok | content: changed: poster
07587578,updated,updated,barcode: ok | content: changed: poster
40033786,updated,updated,barcode: ok | content: changed: poster
01244410,updated,updated,barcode: ok | content: changed: poster
68561914,updated,updated,barcode: ok | content: changed: poster
00982266,updated,updated,barcode: ok | content: changed: poster
22471162,updated,updated,barcode: ok | content: changed: poster
83484154,updated,updated,barcode: ok | content: changed: poster
38534650,updated,updated,barcode: ok | content: changed: poster
16008186,updated,updated,barcode: ok | content: changed: poster
00050938,updated,updated,barcode: ok | content: changed: poster
