Handle,Title,Option1 Name,Option1 Value,Image Src,Image Alt Text,Body (HTML)
deep-blue-sea-deep-blue-sea-2-dvd-rental-horror,Deep Blue Sea / Deep Blue Sea 2,Genre,Horror,,,"<p>When shark conservationist Dr. Misty Calhoun is invited to consult on a top-secret project run by pharmaceutical billionaire Carl Durant, she is shocked to learn that the company is using unpredictable and highly aggressive bull sharks as its test subjects, which soon break loose and cause havoc.</p>"
delta-force-commando-2-vhs-floor-sale-action,Delta Force Commando 2,Genre,Action,,,<p>Only one enemy has ever beat him. Now he needs her to save his life.</p>
detective-pikachu-bluray-floor-sale-4k-kids-family,Detective Pikachu,Genre,Kids & Family,,,"<p>In a world where people collect pocket-size monsters (Pokémon) to do battle, a boy comes across an intelligent monster who seeks to be a detective.</p>"
downton-abbey-the-motion-picture-dvd-rental-drama,Downton Abbey: The Motion Picture,Genre,Drama,,,"<p>The beloved Crawleys and their intrepid staff prepare for the most important moment of their lives. A royal visit from the King and Queen of England will unleash scandal, romance and intrigue that will leave the future of Downton hanging in the balance.</p>"
dying-to-get-rich-susans-plan-vhs-floor-sale-comedy,Dying to Get Rich! Susan's Plan,Genre,Comedy,,,"<p>Susan wants her reprehensible ex-husband dead and, in several bungled attempts by henchmen, tries to accomplish the deed.</p>"
efficiency-expert-vhs-floor-sale-comedy,Efficiency Expert,Genre,Comedy,,,"<p>Wallace is an efficiency expert, managing the high-profile downsizing of a major auto parts factory. But when he is hired to evaluate a small moccasin factory which seems from another era, Wallace has to reconsider the rapid modernization he advocates, as he is confronted by the human faces such plans hurt.</p>"
enormous-changes-vhs,Enormous Changes,Genre,Comedy,,,"<p>This film is made up of three segments that share no plot but have a general thematic relationship. In the first segment, Virginia and her three children are left by her shiftless husband and she is courted by an old beau who is now divorced. In the second, a divorced woman reacts to some unexpected revelations from her aged father. In the third, a childless, middle-aged social worker is swept into an affair with a young cab driver and finds herself pregnant.</p>"
fast-furious-hobbs-shaw-dvd-5,Fast & Furious: Hobbs & Shaw,Genre,Action,,,"<p>Ever since US Diplomatic Security Service Agent Hobbs and lawless outcast Shaw first faced off, they just have traded smack talk and body blows. But when cyber-genetically enhanced anarchist Brixton's ruthless actions threaten the future of humanity, they join forces to defeat him.</p>"
federico-fellinis-8-1-2,Federico Fellini's 8 1/2,Genre,Drama,,,"<p>Guido Anselmi, a film director, finds himself creatively barren at the peak of his career. Urged by his doctors to rest, Anselmi heads for a luxurious resort, but a sorry group gathers—his producer, staff, actors, wife, mistress, and relatives—each one begging him to get on with the show. In retreat from their dependency, he fantasizes about past women and dreams of his childhood.</p>"
federico-fellinis-amarcord,Federico Fellini's Amarcord,Genre,Drama,,,"<p>In an Italian seaside town, young Titta gets into trouble with his friends and watches various local eccentrics as they engage in often absurd behavior. Frequently clashing with his stern father and defended by his doting mother, Titta witnesses the actions of a wide range of characters, from his extended family to Fascist loyalists to sensual women, with certain moments shifting into fantastical scenarios.</p>"
fortress-2-re-entry-dvd-rental-sci-fi,Fortress 2 Re-entry,Genre,Sci-Fi,,,"<p>John Brennick once again finds himself imprisoned, but this time in a new, more sophisticated fortress prison in outer space. But Brennick's not a man to give in easily, and with a 10-year-old son waiting for him back on earth, he's going to pack some serious assault on the evil corporation.</p>"
gore-vidals-billy-the-kid-vhs-rental-action,Gore Vidal's Billy the Kid,Genre,Action,,,<p>Gore Vidal's historical novel is brought to life in this television production of Turner Network Television's Billy the Kid.</p>
harry-potter-and-the-sorcerers-stone-dvd-floor-sale-kids-family,Harry Potter and the Sorcerer's Stone,Genre,Kids & Family,,,"<p>Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.</p>"
harry-potter-and-the-sorcerers-stone-vhs-floor-sale-kids-family,Harry Potter And The Sorcerer's Stone,Genre,Kids & Family,,,"<p>Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.</p>"
harry-potter-and-the-sorcerers-stone-vhs-rental-kids-family,Harry Potter and the Sorcerer's Stone,Genre,Kids & Family,,,"<p>Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.</p>"
hawaiian-beach-party-vhs,Hawaiian Beach Party,Genre,Kids & Family,,,<p>Mary-Kate and Ashley go with their friends to Hawaii for a party.</p>
hearts-of-darkness-vhs,Hearts of Darkness,Genre,Drama,,,"<p>A chronicle of the production problems — including bad weather, actors' health, war near the filming locations, and more — which plagued the filming of Apocalypse Now, increasing costs and nearly destroying the life and career of Francis Ford Coppola.</p>"
homer-eddie-vhs,Homer & Eddie,Genre,Comedy,,,"<p>A mentally disabled man gets help from a sociopath when he tries to reunite with his dying father, who years earlier disowned him.</p>"
honeymoon-academy-vhs,Honeymoon Academy,Genre,Comedy,,,"<p>A honeymooning couple become entangled in a plot to recover plates for counterfeiting US dollars. SHE thinks she's just retired from a government 'dirty jobs' department, but her superiors have other ideas. HE thinks she's a retired travel agent.</p>"
crossroads-dvd-rental-romantic-comedy,Crossroads,Genre,Romantic Comedy,https://image.tmdb.org/t/p/w1280/prdFY9Bc28frBhhWl7mPSr7JmFp.jpg,Crossroads poster,"<p>After eight years apart, three childhood friends - Lucy, Kit, and Mimi - rediscover their friendship on a cross-country trip. With barely a plan, practically no money but plenty of dreams, the girls catch a lift with Mimi's handsome friend Ben in his convertible. Along the way they not only gather experiences that will change their lives, but they also discover how important it is to hold onto their hearts' desires.</p>"
crow,Crow,Genre,Action,,,"<p>A wealthy developer tries to remove settlers from his newly acquired land, which leads to dire consequences.</p>"
cry-wolf-dvd-rental-horror,Cry Wolf,Genre,Horror,https://image.tmdb.org/t/p/w1280/7OQ2McKYgnyfIHHkm0jBxQnu7ou.jpg,Cry Wolf poster,"<p>After a local woman is murdered, a group of teenage liars create a warning e-mail of a serial killer named “The Wolf”, coming on the next full moon. The teens describe each death method The Wolf uses, but when the described victims actually do start turning up dead, suddenly no one knows where the lies end and the truth begins.</p>"
dance-with-me-dvd-rental-drama,Dance with Me,Genre,Drama,https://image.tmdb.org/t/p/w1280/zNUxfWLFGfM7IC7LpxZqWRCnVMK.jpg,Dance with Me poster,"<p>Young Cuban Rafael just buried his mother, and comes to Houston to meet his father John for the first time. The difficult part is that John doesn't know he is Rafael's father. John runs a dance studio, and everyone prepares for the World Open Dance championship in Las Vegas. It soon becomes clear Rafael is a very good dancer, and Ruby is the biggest hope for the studio at the championship.</p>"
dark-journey-vhs-rental-drama,Dark Journey,Genre,Drama,https://image.tmdb.org/t/p/w1280/i1ac0OKN7ApGfN7KX55dtUWGiBL.jpg,Dark Journey poster,<p>British double agent Madeleine Goddard meets and falls in love with German spy Baron Karl Von Marwitz during World War I.</p>
dead-heat-vhs-rental-action,Dead Heat,Genre,Action,https://image.tmdb.org/t/p/w1280/7jBtDMQrXpHlyuJImTAs6Oexv7H.jpg,Dead Heat poster,<p>Detective Roger Mortis is killed in action while investigating a string of mysterious robberies: until he's brought back from the dead with a chemical company's secret re-animation technology. Now he has twelve hours to solve the case of his own death before he dies: And stays dead.</p>
dead-in-the-water-vhs-rental-thriller,Dead in the Water,Genre,Thriller,https://image.tmdb.org/t/p/w1280/zWl6nzAMh0F47HkqB4dqsPNYovx.jpg,Dead in the Water poster,"<p>Young, rich, and randy Gloria takes the family motorboat for some fun in the sun off the coast of Brazil. Along with her are her longtime boyfriend Danny, his best friend Jeff, and the son of an important and infinitely influential client, Marcos. It probably wasn't a good idea to take three gorgeous men the same age out on a boat with a bikini-clad beauty who lately has been questioning her relationship with her main  squeeze, but it gets even worse than expected. There's tragedy, betrayal, and more tragedy as the faulty value systems of the wealthy brats spin out of control.</p>"
death-wish,Death Wish,Genre,Action,,,"<p>After his wife is murdered by street punks, a pacifistic New York City architect becomes a one-man vigilante squad, prowling the streets for would-be muggers after dark.</p>"
death-wish-4-vhs-rental-action,Death Wish 4,Genre,Action,https://image.tmdb.org/t/p/w1280/r8HwJQJyKRyJ2JypwiVR5p0ZV84.jpg,Death Wish 4 poster,"<p>After the death of his girlfriend's daughter from a drug overdose, Paul Kersey takes on the local drug cartel.</p>"
deceived-vhs-rental-action,Deceived,Genre,Action,https://image.tmdb.org/t/p/w1280/j18E6rNmvPf6ALnWHrvn9IBvI7H.jpg,Deceived poster,"<p>The murder of a museum curator places art dealer Jack Saunders under suspicion for selling forged treasures to museums. When Jack suddenly dies in a car crash, his wife Adrienne tries to discover what he did on her own. She finds that she knew little about the man she was married to. The more she learns about her husband's possible illegal activities and double life, the more she places her daughter, and herself, in grave danger.</p>"
delta-force-2-vhs-rental-action,Delta Force 2,Genre,Action,https://image.tmdb.org/t/p/w1280/9rBVHD1gYSx5bOwCgqSdljUXKY8.jpg,Delta Force 2 poster,"<p>When DEA agents are taken captive by a ruthless South American kingpin, the Delta Force is reunited to rescue them in this sequel to the 1986 film.</p>"
dementia-13-dvd-rental-horror,Dementia 13,Genre,Horror,https://image.tmdb.org/t/p/w1280/aLv5491Q11zhIZbpqz7rnRZkSLZ.jpg,Dementia 13 poster,"<p>A scheming widow hatches a bold plan to acquire her late husband's inheritance, unaware that she is being targeted by an ax murderer who lurks in the family's estate.</p>"
dennis-the-menace,Dennis the Menace,Genre,Kids & Family,,,<p>Mr. Wilson's ever-present annoyance comes in the form of one mischievous kid named Dennis. But he'll need Dennis's tricks to uncover a collection of gold coins that go missing when a shady drifter named Switchblade Sam comes to town.</p>
despicable-me-dvd-rental-kids-family,Despicable Me,Genre,Kids & Family,https://image.tmdb.org/t/p/w1280/b1BT309QWjtFUlJPLmXmrcHOWEL.jpg,Despicable Me poster,"<p>Determined to prove he's the world's greatest supervillain, Gru hatches an audacious plan to steal the Moon. To pull it off, he adopts three orphaned girls—Margo, Edith, and Agnes—intending to use them as pawns in his scheme. But the unexpected bond they form forces him to question the criminal life he's always known.</p>"
dick-tracy-vhs-rental-action,Dick Tracy,Genre,Action,https://image.tmdb.org/t/p/w1280/sjeP4bpgsUvAGE8oFcICy2GaHxw.jpg,Dick Tracy poster,<p>The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.</p>
dirty-dancing-dvd-rental-drama,Dirty Dancing,Genre,Drama,https://image.tmdb.org/t/p/w1280/9Jw6jys7q9gjzVX5zm1z0gC8gY9.jpg,Dirty Dancing poster,"<p>Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love.</p>"
double-edge-vhs-rental-action,Double Edge,Genre,Action,https://image.tmdb.org/t/p/w1280/oAxCimmiS8jBPAGRCHvsYiuxDLy.jpg,Double Edge poster,"<p>In this fast paced action-thriller, daytime's top star Susan Lucci plays two roles: both a crack FBI agent and the elusive killer-for-hire who she stalks in a deadly game of hide-and-seek. Each driven by an obsession to succeed, the perfectly matched competitors hurtle full-speed through a risky game od double-cross to an unexpected and deadly finish line.</p>"
dragon-heart-3-dvd-rental-fantasy,Dragon Heart 3,Genre,Fantasy,https://image.tmdb.org/t/p/w1280/qPiyMWZHlRGgQ54roaraS3iJR12.jpg,Dragon Heart 3 poster,"<p>When aspiring knight Gareth goes in search of a fallen comet rumored to contain gold, he is shocked to instead find the dragon Drago. After Drago saves Gareth's life the two become intricately bonded, and must work together to defeat an evil sorcerer and stop his reign of terror. Along the way, Gareth learns the true meaning of being a knight in this fantasy action-adventure for the ages.</p>"
drive-dvd-rental-action,Drive,Genre,Action,,,"<p>Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior, lately he's been warming up to a pretty neighbor named Irene and her young son, Benicio. When Irene's husband gets out of jail, he enlists Driver's help in a million-dollar heist. The job goes horribly wrong, and Driver must risk his life to protect Irene and Benicio from the vengeful masterminds behind the robbery.</p>"
drum-vhs-rental-drama,Drum,Genre,Drama,https://image.tmdb.org/t/p/w1280/tKJUvemUAd0oXwyDuV4cpVzpkxh.jpg,Drum poster,<p>A mid-19th century mulatto slave is torn between his success as a pit-fighter and the injustices of white society.</p>
duel-to-the-death-dvd-rental-action,Duel to the Death,Genre,Action,https://image.tmdb.org/t/p/w1280/a6diqDVVpvagC3KPZctCipMcmgs.jpg,Duel to the Death poster,"<p>In 16th century, during the Ming dynasty era, every ten years the greatest swordsman from Japan faces the greatest swordsman from China in a duel to the death for their nation's honor. As a duel approaches, Chinese champion Bo Ching-Wan and Japanese champion Miyamoto uncover a plot to rig the fight.</p>"
dumb-and-dumber-dvd-rental-comedy,Dumb and Dumber,Genre,Comedy,https://image.tmdb.org/t/p/w1280/4LdpBXiCyGKkR8FGHgjKlphrfUc.jpg,Dumb and Dumber poster,"<p>Lloyd and Harry are two men whose stupidity is really indescribable. When Mary, a beautiful woman, loses an important suitcase with money before she leaves for Aspen, the two friends (who have found the suitcase) decide to return it to her. After some ""adventures"" they finally get to Aspen where, using the lost money they live it up and fight for Mary's heart.</p>"
elizabeth-vhs-rental-drama,Elizabeth,Genre,Drama,,,"<p>The story of the ascension to the throne and the early reign of Queen Elizabeth the First, the endless attempts by her council to marry her off, the Catholic hatred of her and her romance with Lord Robert Dudley.</p>"
emma-dvd-rental-drama,Emma.,Genre,Drama,https://image.tmdb.org/t/p/w1280/fM5goQ6c3uq3hzNJj3ZAFfTFkX9.jpg,Emma. poster,"<p>Emma Woodhouse is a congenial young lady who delights in meddling in other people’s affairs. She is perpetually trying to unite men and women who are utterly wrong for each other. Despite her interest in romance, Emma is clueless about her own feelings, and her relationship with gentle Mr. Knightley.</p>"
empire-dvd-rental-thriller,Empire,Genre,Thriller,https://image.tmdb.org/t/p/w1280/m6XxaRLltWox4C9pykjUILrlGp9.jpg,Empire poster,"<p>Big time drug dealer Victor Rosa is looking to get out of the game and sees his chance with a big deal with a new friend who happens to be a Wall St. stockbroker. Thinking this will be his chance to go out on top, Victor soon finds out that he's been double crossed and his last option is to get revenge.</p>"
escape,Escape,Genre,Action,,,"<p>A scientist's experiment could lead to the first man-made, functioning, living organism. An elite escape artist-private investigator is working to stop him.</p>"
excision,Excision,Genre,Horror,,,"<p>Pauline, a disturbed, outcast teenager, has a fascination with surgery and experiences violent, psychosexual fantasies, all while aspiring to a career in medicine.</p>"
eye-in-the-sky-dvd-rental-thriller,Eye in the Sky,Genre,Thriller,https://image.tmdb.org/t/p/w1280/faRGb9SuyGuZpsNRoIxoVSLLCId.jpg,Eye in the Sky poster,"<p>A UK-based military officer in command of a top secret drone operation to capture terrorists in Kenya discovers the targets are planning a suicide bombing and the mission escalates from “capture” to “kill.” As American pilot Steve Watts is about to engage, a nine-year old girl enters the kill zone, triggering an international dispute reaching the highest levels of US and British government over the moral, political, and personal implications of modern warfare.</p>"
face-to-face-vhs-rental-drama,Face to Face,Genre,Drama,https://image.tmdb.org/t/p/w1280/ulh7ILYfvSZExCXENEhySvuZLLl.jpg,Face to Face poster,"<p>A psychiatrist temporarily separated from her family begins to experience severe psychological distress while working at a mental hospital and returning to her childhood home. As her professional responsibilities and personal relationships intersect, she undergoes a breakdown that forces her to confront long-suppressed memories and fears.  (Note: This entry refers to the 1976 theatrical feature film (approximately 135 minutes), created by condensing and re-editing the four-part Swedish television miniseries originally produced the same year.)</p>"
far-from-heaven-dvd-rental-drama,Far from Heaven,Genre,Drama,https://image.tmdb.org/t/p/w1280/9gQuvFDRPLx39smUvyafm36tp0d.jpg,Far from Heaven poster,"<p>In 1950s Connecticut, a housewife's life is upended by a marital crisis and mounting racial tensions in society.</p>"
fear-in-the-night-dvd-rental-thriller,Fear in the Night,Genre,Thriller,https://image.tmdb.org/t/p/w1280/tT2gf4OJCgQMEQ2F0dCqmoqQg2i.jpg,Fear in the Night poster,"<p>It took Peggy Heller a long time to recover from the trauma of a brutal physical assault, suffered in her youth. When she married Robert, he provided her with the love and reassurance she craved for and the two settled down in a pretty house in the grounds of the public school where Robert was a master. But the headmaster of the school is not what he seems and Peggy is convinced he means to harm her - is her fear a figment of her tortured imagination or are there forces at work that intend to manipulate her anxieties with fatal consequences?</p>"
fearless-bluray-rental-action,Fearless,Genre,Action,https://image.tmdb.org/t/p/w1280/bBsikWKj4bVDNnebBgrLnh6NoEi.jpg,Fearless poster,"<p>After going through a series of tragic events in his life, martial arts master Huo Yuanjia returns to Tianjin and must fight four international soldiers, in order to safeguard his nation's pride.</p>"
fearless-dvd-rental-drama,Fearless,Genre,Drama,https://image.tmdb.org/t/p/w1280/sFhzvwgv04VUmedB7pOO4cMP9xq.jpg,Fearless poster,"<p>After surviving a plane crash that kills many others, Max Klein develops a sense of invulnerability, leading to radical, compulsive actions. Can a psychologist and a fellow guilt-ridden survivor bring him down to earth?</p>"
feast-dvd-rental-horror,Feast,Genre,Horror,https://image.tmdb.org/t/p/w1280/g9i3dfQRAyU8TPe1LrbvAdVoLfB.jpg,Feast poster,"<p>When a motley crew of strangers find themselves trapped in an isolated tavern, they must band together in a battle for survival against a family of flesh-hungry creatures.</p>"
fighting-dvd-rental-action,Fighting,Genre,Action,https://image.tmdb.org/t/p/w1280/xP1uogi5Gjnf6ybSN10lyDpqDlW.jpg,Fighting poster,"<p>Small-town boy Shawn MacArthur has come to New York City with nothing. Barely earning a living selling counterfeit goods on the streets, his luck changes when scam artist Harvey Boarden sees that he has a natural talent for streetfighting. When Harvey offers Shawn help at making the real cash, the two form an uneasy partnership.</p>"
fireworks-dvd-rental-drama,Fireworks,Genre,Drama,https://image.tmdb.org/t/p/w1280/8PuEoldBufjBSFCFFTR5t8u2xiT.jpg,Fireworks poster,"<p>A woman and a man, living in a trailer, are sitting at each side of their dinner table. The woman is glaring at the man, but the man seems completely remote. The woman runs out of their trailer and starts to wander around the forest.</p>"
flesh-blood,Flesh + Blood,Genre,Action,,,"<p>A band of medieval mercenaries take revenge on a noble Lord who cheated them by kidnapping his son's fiancée. As the plague and warfare cut a swathe of destruction throughout the land, the mercenaries hole up in a castle and await their fate.</p>"
for-love-or-money-dvd-rental-romantic-comedy,For Love or Money,Genre,Romantic Comedy,https://image.tmdb.org/t/p/w1280/cXkkdmC0EJxZ1JuN1RBHwqktxiT.jpg,For Love or Money poster,"<p>New York concierge Doug Ireland wants to go into business for himself and refurbish a hotel on Roosevelt Island, N.Y., but he needs an investor. With a few weeks left before his option on the site runs out, Doug agrees to help wealthy Christian Hanover conceal his affair with salesgirl Andy Hart from his wife. Despite his own attraction to Andy, Doug tries to stay focused on getting Christian to invest $3 million in his project.</p>"
francesca,Francesca,Genre,Horror,,,"<p>Italy, 1970. The sinister shadow of a mysterious serial killer, obsessed with Dante's Divine Comedy, relentlessly hunts down all those whose souls are evil and impure. Inspectors Moretti and Succo, in charge of solving the case, suspect that the wave of murders is related to a horrible crime committed 15 years earlier.</p>"
frank-and-jesse-dvd-rental-action,Frank and Jesse,Genre,Action,https://image.tmdb.org/t/p/w1280/h54QflwgAKx0sy2bE4qm7SGg1Tw.jpg,Frank and Jesse poster,"<p>At the end of the Civil War, Frank and Jesse James and other former guerillas who rode with Quantrill and Bill Anderson take the oath of allegiance to the Union. Feeling oppressed by Chicago railroad investors, the James and Younger brothers, Bob and Charlie Ford, Clell Miller and Arch Clements take to robbing banks, trains and coaches, with Pinkerton sworn to bringing them to justice.</p>"
freaky-friday,Freaky Friday,Genre,Kids & Family,,,"<p>Mother and daughter bicker over everything -- what Anna wears, whom she likes and what she wants to do when she's older. In turn, Anna detests Tess's fiancé. When a magical fortune cookie switches their personalities, they each get a peek at how the other person feels, thinks and lives.</p>"
fun-with-dick-and-jane-dvd-rental-comedy,Fun with Dick and Jane,Genre,Comedy,https://image.tmdb.org/t/p/w1280/xTcIPKpzCqQUQixNPS0Rb7HPEAf.jpg,Fun with Dick and Jane poster,"<p>After Dick Harper loses his job at Globodyne in an Enron-esque collapse, he and his wife, Jane, turn to crime in order to handle the massive debt they now face. Two intelligent people, Dick and Jane actually get pretty good at robbing people and even enjoy it – but they have second thoughts when they're reminded that crime can hurt innocent people. When the couple hears that Globodyne boss Jack McCallister actually swindled the company, they plot revenge.</p>"
funny-farm-vhs-rental-comedy,Funny Farm,Genre,Comedy,https://image.tmdb.org/t/p/w1280/i4ExIbPuAe0rAjpYcteiFx4QEfY.jpg,Funny Farm poster,"<p>Sportswriter Andy Farmer moves with his schoolteacher wife Elizabeth to the country in order to write a novel in relative seclusion. Of course, seclusion is the last thing the Farmers find in the small, eccentric town, where disaster awaits them at every turn.</p>"
girls-in-prison-vhs-rental-drama,Girls in Prison,Genre,Drama,https://image.tmdb.org/t/p/w1280/42gZLRZStmVH3shTSTj3iDZ9RBf.jpg,Girls in Prison poster,"<p>In 1952 Hollywood, aspiring singer/songwriter Aggie O'Hanlon is sentenced to life after being found guilty of a murder she didn't commit. While incarcerated, Aggie befriends other inmates also serving life. However, Aggie soon finds herself the target of various 'hit girls'. Can Aggie survive life behind bars long enough to prove her innocence?</p>"
girls-trip-dvd-rental-comedy,Girls Trip,Genre,Comedy,https://image.tmdb.org/t/p/w1280/fM1h8CwtdileV3zlemXx7UWJjOP.jpg,Girls Trip poster,"<p>Four girlfriends take a trip to New Orleans for an annual festival and, along the way, rediscover their wild sides and strengthen the bonds of sisterhood.</p>"
girls-will-be-girls-vhs-rental-comedy,Girls Will Be Girls,Genre,Comedy,https://image.tmdb.org/t/p/w1280/r7noiDa6MDQD4svWNzrhfwEH0PL.jpg,Girls Will Be Girls poster,"<p>A group of employees, on a winter vacation, rather than skiing, spend their time in an attempt to impress the beautiful Angela and a sexy servant girl.</p>"
golden-eye-dvd-rental-action,Golden Eye,Genre,Action,https://image.tmdb.org/t/p/w1280/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,Golden Eye poster,"<p>When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.</p>"
gone-are-the-days-dvd-rental-action,Gone are the Days,Genre,Action,https://image.tmdb.org/t/p/w1280/sLBYLf6gh9Ud1JsAreyQzOCOazu.jpg,Gone are the Days poster,"<p>The story of notorious outlaw Taylon Flynn, a man hell-bent on exiting this life in a blaze of glory. His plans go awry upon the discovery of the sordid life his estranged daughter is forced to live. To save her, he must summon the inner demons he purged long ago, and finds that redemption is a hard road to travel.</p>"
grand-prix-dvd-rental-drama,Grand Prix,Genre,Drama,https://image.tmdb.org/t/p/w1280/yEXrf09o8wVRFSptYFr6VcqLjPr.jpg,Grand Prix poster,"<p>The most daring drivers in the world have gathered to compete for the 1966 Formula One championship. After a spectacular wreck in the first of a series of races, American wheelman Pete Aron is dropped by his sponsor. Refusing to quit, he joins a Japanese racing team. While juggling his career with a torrid love affair involving an ex-teammate's wife, Pete must also contend with Jean-Pierre Sarti, a French contestant who has previously won two world titles.</p>"
great-gatsby,Great Gatsby,Genre,Drama,,,"<p>Nick Carraway arrives in New York in 1922, an era of loose morals, glittering jazz and bootleg kings. Chasing his own American Dream, Nick encounters the mysterious millionaire Gatsby and his bewitching cousin Daisy. Soon, Nick is drawn into the captivating world of the super-rich, their illusions, loves and deceits. Bearing witness to this new world, Nick pens a tale of impossible love, incorruptible dreams and unforgettable tragedy -- mirroring our own times and struggles.​</p>"
hard-justice-vhs-rental-action,Hard Justice,Genre,Action,https://image.tmdb.org/t/p/w1280/uI33qigPWcQNX3jNMF76ocE4zB7.jpg,Hard Justice poster,<p>When A.T.F. agent Nick Adams goes undercover in a prison to unravel the mystery of a fellow agents death there. Warden Pike and his pet goons are involved in all kinds of corrupt activities; dope dealing and gun smuggling to name a few.</p>
hatchet-dvd-rental-horror,Hatchet,Genre,Horror,https://image.tmdb.org/t/p/w1280/lkh3Fwruds78feXfP1Zb9kBLydL.jpg,Hatchet poster,"<p>When a group of tourists on a New Orleans haunted swamp tour find themselves stranded in the wilderness, their evening of fun and spooks turns into a horrific nightmare.</p>"
hatchet-2-dvd-rental-horror,Hatchet 2,Genre,Horror,https://image.tmdb.org/t/p/w1280/k1lzmRZUGDejyV11JnD79yrEHiE.jpg,Hatchet 2 poster,"<p>Picking up right where the original ended, Marybeth escapes the clutches of the swamp-dwelling killer Victor Crowley. After learning the truth about her family’s connection to the hatchet-wielding madman, Marybeth returns to the Louisiana swamps along with an army of hunters to recover the bodies of her family and exact the bloodiest revenge against the bayou butcher.</p>"
held-up-dvd-rental-comedy,Held Up,Genre,Comedy,https://image.tmdb.org/t/p/w1280/95AseMukZsjgDXC9NtgVQESAVgY.jpg,Held Up poster,<p>What should have been a romantic getaway turns into one hilarious debacle after another when Michael's woman dumps him in the desert where he gets carjacked by a teenager and he is taken hostage in a stickup at the local Sip and Zip.</p>
high-and-low-dvd-rental-thriller,High and Low,Genre,Thriller,https://image.tmdb.org/t/p/w1280/tgNjemQPG96uIezpiUiXFcer5ga.jpg,High and Low poster,<p>A Yokohama shoe executive faces a wrenching choice when kidnappers mistakenly seize his chauffeur’s son but demand the ransom anyway.</p>
hit-run,Hit & Run,Genre,Action,,,"<p>When former getaway driver Charlie Bronson jeopardises his Witness Protection Plan identity in order to help his girlfriend get to Los Angeles, the feds and Charlie's former gang chase them on the road.</p>"
hitchhikers-guide-to-the-galaxy-dvd-rental-sci-fi,Hitchhikers Guide to the Galaxy,Genre,Sci-Fi,https://image.tmdb.org/t/p/w1280/4fOFbNMjq708CQ7ou71by6rI6wZ.jpg,Hitchhikers Guide to the Galaxy poster,"<p>Mere seconds before the Earth is to be demolished by an alien construction crew, Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""</p>"
home-of-the-brave-dvd-rental-action,Home of the Brave,Genre,Action,https://image.tmdb.org/t/p/w1280/eQokFEJYba9PUhJ99W0TsxzOynp.jpg,Home of the Brave poster,"<p>The day after they get the word they'll go home in two weeks, a group of soldiers from Spokane are ambushed in an Iraqi city. Back stateside we follow four of them - a surgeon who saw too much, a teacher who's a single mom and who lost a hand in the ambush, an infantry man whose best friend died that day, and a soldier who keeps reliving the moment he killed a civilian woman.</p>"
homework-dvd-rental-comedy,Homework,Genre,Comedy,https://image.tmdb.org/t/p/w1280/fIgGU39q3h4n1f2GhWp1kAneAZ7.jpg,Homework poster,"<p>Good-looking but virginal ""rockstar"" teen Tommy tries to score with some of the local high school girls. But a classmate's mom decides to make a man out of him.</p>"
howard-stern-private-parts-vhs,Howard Stern Private Parts,Genre,Comedy,,,"<p>The life and career of shock-jock superstar Howard Stern is recounted from his humble beginnings to his view from the top. Possessing a desire to be an on-air personality since childhood, Stern meanders through the radio world, always with his supportive wife, Alison, by his side. Landing a gig in Washington, D.C., Stern meets Robin Quivers, who will become his long-time partner in crime. When the two move to New York, they face the wrath of NBC executives.</p>"
i-heart-huckabees-vhs-floor-sale-comedy,I Heart Huckabees,Genre,Comedy,,,"<p>A husband-and-wife team play detective, but not in the traditional sense. Instead, the happy duo helps others solve their existential issues, the kind that keep you up at night, wondering what it all means.</p>"
inferno-skyscraper-escape-dvd,Inferno: Skyscraper Escape,Genre,Action,,,<p>Disaster hits when two teenagers are caught in a fire on the 20th floor of a skyscraper. Their parents are on the 60th. Will they survive the flames?</p>
