Handle,Title,Option1 Name,Option1 Value,Image Src,Image Alt Text,Body (HTML)
city-slickers-ii-vhs,City Slickers II,Genre,Comedy,,,"<p>Mitch Robbins' 40th birthday begins quite well until he returns home and finds his brother Glen, the black sheep of the family, in his sofa. Nevertheless he is about to have a wonderful birthday-night with his wife when he discovers a treasure map of Curly by chance. Together with Phil and unfortunately Glen he tries to find the hidden gold of Curly's father in the desert of Arizona.</p>"
cria-cuervos-dvd-rental-drama,Cria Cuervos,Genre,Drama,,,"<p>Ana, an eight-year-old girl living in Madrid with her grandmother and two sisters, mourns the death of her mother.</p>"
ambushed-dvd-rental-action,Ambushed,Genre,Action,https://image.tmdb.org/t/p/w1280/r7BKxa5auOnvbEMD1SNaQObQ5Nn.jpg,Ambushed poster,"<p>In the frenetic underbelly of Los Angeles, Agent Maxwell closes in on an international cocaine smuggling operation run by criminal mastermind Vincent Camastra. When Agent Beverly Royce goes undercover with the drug dealers and finds herself deeper then she can handle - the case becomes personal for Maxwell who has to combat ruthless killers and dirty cops in an all-out action filled finale to bring the criminals to justice.</p>"
american-dream-dvd-rental-thriller,American Dream,Genre,Thriller,https://image.tmdb.org/t/p/w1280/7H7Kjfd8ErZJdVjZ7tjWQHxBKBn.jpg,American Dream poster,
american-pie-dvd-rental-comedy,American Pie,Genre,Comedy,https://image.tmdb.org/t/p/w1280/5P68by2Thn8wHAziyWGEw2O7hco.jpg,American Pie poster,"<p>At a high-school party, four friends find that losing their collective virginity isn't as easy as they had thought. But they still believe that they need to do so before college. To motivate themselves, they enter a pact to all ""score"" by their senior prom.</p>"
american-pie-special-edition,AMERICAN PIE SPECIAL EDITION,Genre,Comedy,,,"<p>At a high-school party, four friends find that losing their collective virginity isn't as easy as they had thought. But they still believe that they need to do so before college. To motivate themselves, they enter a pact to all ""score"" by their senior prom.</p>"
amityville-horror,Amityville Horror,Genre,Horror,,,"<p>George Lutz, his wife Kathy, and their three children have just moved into a beautiful, and improbably cheap, Dutch colonial mansion nestled in the sleepy coastal town of Amityville, Long Island. However, their dream home is concealing a horrific past and soon each member of the Lutz family is plagued with increasingly strange and violent visions and impulses.</p>"
amys-o,Amy's O,Genre,Comedy,,,"<p>Amy is a single 29 year old Jewish woman. She wrote a successful self-help book about how women can't truly be in love and experience ""mental orgasm."" Her parents and acquaintances always try to give her advice. Eventually, she breaks her celibacy and starts dating a radio shock jock, who is known for hitting on his bimbo guests. Of all men, will she find in him the true love she never believed in</p>"
and-she-was-vhs-rental-drama,And She Was,Genre,Drama,https://image.tmdb.org/t/p/w1280/kRzmxugZ7N6bOZTauQCtcDG9pek.jpg,And She Was poster,"<p>A young girl deals with the discovery of her sexuality, her turbulent relationship with her mother, and high school during the 80s.  Found under 'caroline & kaitlyn films' on youtube! This was made by 2 high school students for a senior project so please be kind!</p>"
angels-in-the-outfield,Angels in the Outfield,Genre,Kids & Family,,,"<p>Roger is a foster child whose irresponsible father promises to get his act together when Roger's favourite baseball team, the California Angels, wins the pennant. The problem is that the Angels are in last place, so Roger prays for help to turn the team around. Sure enough, his prayers are answered in the form of angel Al.</p>"
