barcode,shopify_title,vendor,status,qty,product_id,in_libib,libib_id,libib_title,libib_collection,libib_status
191-BLRTAN-001A,Tango & Cash,Blu-Ray,ACTIVE,1,9276611100922,yes,kq7fohpysl,Tango & Cash,Rental Library,
191-BLRTRM-50-001A,Terminator Genisys,Blu-Ray,ACTIVE,1,9267013157114,yes,7f2gdsthd6,Terminator Genisys,Rental Library,
191-BLRTER-50-001A,Terminator: Dark Fate,Blu-Ray,ACTIVE,1,9258826137850,yes,dmniqy2u84,Terminator: Dark Fate,Rental Library,
191-BLRTEX-001A,Texas Chain Saw Massacre,Blu-Ray,ACTIVE,1,9276611231994,yes,j7s89leqlq,Texas Chain Saw Massacre,Rental Library,
191-BLRTH4-50-001A,The 40-Year-Old Virgin,Blu-Ray,ACTIVE,1,9258984472826,yes,2ogknmztqt,The 40-Year-Old Virgin,Rental Library,
191-VHSTHE-F-001A,The Adventures of Pluto Nash,VHS,ACTIVE,1,9243607302394,yes,j7s89tuqlq,The Adventures of Pluto Nash,Rental Library,
191-BLRTHE-50-001A,The Assassination of Jesse James,Blu-Ray,ACTIVE,0,9258867196154,yes,w1e082yisd,The Assassination of Jesse James,Rental Library,
191-NKNTHE-50-001A,The Assignment,VHS,DRAFT,0,9249542504698,yes,bpyhljdcho,The Assignment,Rental Library,
191-DVDTHV-001A,The Aviator,DVD,ACTIVE,0,9276613329146,yes,iz5do19lqm,The Aviator,Rental Library,
191-DVDTHB-001A,The Beales of Grey Gardens,DVD,ACTIVE,1,9276609822970,yes,ywhe0sar71,The Beales of Grey Gardens,Rental Library,
191-BLRTHB-50-001A,The Black Room (Vinegar Syndrome),Blu-Ray,ACTIVE,1,9260429967610,no,,,,
191-4K2THE-50-001A,The Boogeyman (Vinegar Syndrome),4K,ACTIVE,0,9260430098682,yes,6umxypt8dt,The Boogeyman (Vinegar Syndrome),Rental Library,
191-DVDTHP-001A,The Break-Up,DVD,ACTIVE,0,9276611002618,yes,ftoam2ae5y,The Break-Up,Rental Library,
191-DVDTHC-001A,The Cabin in the Woods,DVD,ACTIVE,1,9276609396986,yes,u34jsxkgnz,The Cabin in the Woods,Rental Library,
191-VHSTHC-50-001A,The Capitol Conspiracy,VHS,ACTIVE,1,9249542897914,yes,8g3jrn6ohq,The Capitol Conspiracy,Rental Library,
191-BLRTHC-50-001A,The Cardona Collection Vol. 2 (Vinegar Syndrome),Blu-Ray,ACTIVE,1,9260429508858,no,,,,
191-BLRCEL-50-001A,The Cell,Blu-Ray,ACTIVE,1,9267013550330,yes,xlz62kdjps,The Cell,Rental Library,
191-BLRTHD-50-001A,The Editor,Blu-Ray,ACTIVE,1,9258868539642,yes,xlz6texjps,The Editor,Rental Library,
191-BLRTHY-001A,The Fly,Blu-Ray,ACTIVE,0,9276609855738,yes,dmniqchu84,The Fly,Rental Library,
191-BLRTHF-50-001A,The Forest,Blu-Ray,ACTIVE,0,9260364038394,yes,ri192ewxoz,The Forest,Rental Library,
191-BL2THE-001A,The Forgotten,DVD,ACTIVE,1,9276609102074,yes,ayqht77psz,The Forgotten,Rental Library,
191-VHSTHG-F-001A,The Grifters,VHS,ACTIVE,1,9243607400698,yes,u34lwqsgnz,The Grifters,Rental Library,
191-DVDTHG-001A,The Grudge,DVD,ACTIVE,0,9276609528058,yes,2ogkn8jtqt,The Grudge,Rental Library,
191-BLRTH7-50-001A,The Human Condition (Criterion Collection),Blu-Ray,ACTIVE,1,9260438323450,yes,8g3jr4aohq,The Human Condition (Criterion Collection),Rental Library,
191-BLRTH2-50-001A,The Innkeepers,Blu-Ray,ACTIVE,1,9260364398842,yes,kq725s1ysl,The Innkeepers,Rental Library,
191-BLRTHZ-001A,The Last Waltz,Blu-Ray,ACTIVE,0,9276611592442,no,,,,
191-DVDTH2-001A,The Lord of the Rings: The Return of the King,DVD,ACTIVE,1,9276612018426,yes,t0bpwb593y,The Lord of the Rings: The Return of the King,Rental Library,
191-DVDTHS-001A,The Lord of the Rings: The Two Towers,DVD,ACTIVE,1,9276611985658,yes,3kj72jmarj,The Lord of the Rings: The Two Towers,Rental Library,
191-VHSTHM-50-001A,The Man In The Moon,VHS,ACTIVE,1,9249544175866,yes,prweshhno7,The Man In The Moon,Rental Library,
191-BLRTHN-50-001A,The Nice Guys,Blu-Ray,ACTIVE,1,9258984079610,yes,hetbuod19k,The Nice Guys,Rental Library,
191-BLRTHP-50-001A,The Paperboy,Blu-Ray,ACTIVE,1,9258867982586,yes,nxi5f1e41p,The Paperboy,Rental Library,
191-BLRTH9-50-001A,The Prophecy I-II-III (Vinegar Syndrome),4K,ACTIVE,1,9260438061306,yes,lsvu06u7b9,The Prophecy I-II-III (Vinegar Syndrome),Rental Library,
191-BLRTHL-50-001A,The Proposal,Blu-Ray,ACTIVE,1,9258983457018,yes,j7s89v0qlq,The Proposal,Rental Library,
191-RRWTHE-50-001A,The Red Queen Kills Seven Times (Arrow),Blu-Ray,ACTIVE,1,9260445630714,yes,iz5do9clqm,The Red Queen Kills Seven Times (Arrow),Rental Library,
191-DVDTHE-50-001A,The Sea Hawk,DVD,ACTIVE,1,9260438356218,yes,obaqxkh0an,The Sea Hawk,Rental Library,
191-BLRTH6-50-001A,The Sinful Dwarf (Limited Collector's Edition),Blu-Ray,ACTIVE,1,9260431376634,yes,e90p3bj5u2,The Sinful Dwarf (Limited Collector's Edition),Rental Library,
191-BLRTHS-50-001A,The Stepfather (Director's Cut),Blu-Ray,ACTIVE,1,9260363677946,yes,v8u4pmi26q,The Stepfather (Director's Cut),Rental Library,
191-NKNTHT-50-001A,"The Talented Mr. Ripley (vhs, 2000)",VHS,ACTIVE,1,9249544470778,no,,,,
191-BLRTHT-50-001A,The Texas Chainsaw Massacre,Blu-Ray,ACTIVE,1,9260363874554,no,,,,
191-BLRTHG-50-001A,The Texas Chainsaw Massacre: The Beginning,Blu-Ray,ACTIVE,1,9260364497146,yes,ftoamgqe5y,The Texas Chainsaw Massacre: The Beginning,Rental Library,
191-BLRTHR-50-001A,The Transporter,Blu-Ray,ACTIVE,1,9266894930170,yes,6umxynf8dt,The Transporter,Rental Library,
191-BLRTH3-50-001A,The Watch,Blu-Ray,ACTIVE,1,9260364529914,yes,2ogkn3stqt,The Watch,Rental Library,
191-UNKTHE-50-001A,The Wraith (Collector's Series),Blu-Ray,ACTIVE,1,9267105792250,yes,m4xzhng31h,The Wraith (Collector's Series),Rental Library,
191-BLRTHW-50-001A,The Wrestler,Blu-Ray,ACTIVE,1,9258867851514,yes,bpyhlqucho,The Wrestler,Rental Library,
191-VHSTH2-50-001A,Thelma & Louise,VHS,ACTIVE,1,9249542111482,yes,6umxyn98dt,Thelma & Louise,Rental Library,
191-BLRTH8-50-001A,Thief (Criterion Collection),Blu-Ray,ACTIVE,1,9260438520058,yes,8g3jr48ohq,Thief (Criterion Collection),Rental Library,
191-VHSTHI-001A,Things Are Tough All Over,VHS,ACTIVE,1,9270291595514,yes,ywhtvq4r71,Things Are Tough All Over,Rental Library,
191-BLRTHI-50-001A,This Is 40,Blu-Ray,ACTIVE,1,9258983915770,yes,xlz6tvqjps,This Is 40,Rental Library,
191-BLRTH5-50-001A,This Is The End,Blu-Ray,ACTIVE,1,9260364660986,yes,56dnamtv9x,This Is The End,Rental Library,
191-DVDTHR-001A,Three Kings,DVD,ACTIVE,1,9276609757434,yes,8g3k7n9ohq,Three Kings,Rental Library,
191-VHSTIL-001A,Till The Clouds Roll By,VHS,ACTIVE,1,9276624601338,yes,obaqxg80an,Till The Clouds Roll By,Rental Library,
191-DVDTOM-001A,"Tom Hanks Comedy Collection (The Money Pit, The 'Burbs, Dragnet)",DVD,ACTIVE,1,9276612444410,yes,8g3jrg0ohq,"Tom Hanks Comedy Collection (The Money Pit, The 'Burbs, Dragnet)",Rental Library,
191-BLRTOP-50-001A,Top Gun 2-Movie Collection,Blu-Ray,ACTIVE,1,9267011944698,yes,prwesrrno7,Top Gun 2-Movie Collection,Rental Library,
191-VHSTR3-001A,Tragedy of Flight 103,VHS,ACTIVE,1,9276624929018,yes,3kjs1kyarj,Tragedy of Flight 103,Rental Library,
191-BLRTRA-50-001A,Trainwreck,Blu-Ray,ACTIVE,1,9260364005626,yes,ri1925ixoz,Trainwreck,Rental Library,
191-BLRTR2-50-001A,Transporter 2,Blu-Ray,ACTIVE,1,9266894864634,yes,m4xzhly31h,Transporter 2,Rental Library,
191-BLRTRN-50-001A,Transporter 3 (2-Disc Fully Loaded Edition),Blu-Ray,ACTIVE,1,9266894831866,yes,obaqxya0an,Transporter 3 (2-Disc Fully Loaded Edition),Rental Library,
191-BLRTRD-50-001A,Transporter Refueled,Blu-Ray,ACTIVE,1,9266911838458,yes,9dcrkdb6rp,Transporter Refueled,Rental Library,
191-VHSTRL-001A,Trial,VHS,ACTIVE,1,9276653273338,yes,7f2gdf9hd6,Trial,Rental Library,
191-VHSTRI-001A,Trial by Jury,VHS,ACTIVE,1,9276625420538,yes,j7s8975qlq,Trial by Jury,Rental Library,
191-BLRTRI-50-001A,Triple 9,Blu-Ray,ACTIVE,1,9266895225082,yes,cnr17ixmmk,Triple 9,Rental Library,
191-BLRTRU-001A,True Grit,Blu-Ray,ACTIVE,1,9276613263610,yes,obaqxbr0an,True Grit,Rental Library,
191-DVDTUP-001A,Tupac: Resurrection,DVD,ACTIVE,1,9276612051194,yes,ayqfzyzpsz,Tupac: Resurrection,Rental Library,
191-VHSTWI-001A,Twilight,VHS,ACTIVE,1,9276651405562,yes,v8u4p8426q,Twilight,Rental Library,
191-BLRUND-50-001A,UNDEFEATABLE (Vinegar Syndrome),Blu-Ray,ACTIVE,1,9260438454522,yes,8g3jrkpohq,UNDEFEATABLE (Vinegar Syndrome),Rental Library,
191-BLRUNB-50-001A,Unbearable Weight of Massive Talent,Blu-Ray,ACTIVE,1,9267105988858,yes,ftoamtpe5y,Unbearable Weight of Massive Talent,Rental Library,
191-BLRUNC-001A,Uncut Gems,Blu-Ray,ACTIVE,1,9276611821818,yes,6umxyuw8dt,Uncut Gems,Rental Library,
191-DVDUND-001A,Underworld: Evolution,DVD,ACTIVE,1,9276612215034,yes,qhfo6hmwe4,Underworld: Evolution,Rental Library,
191-BLRUNL-50-001A,Unleashed,Blu-Ray,ACTIVE,1,9266967314682,yes,8g3jrgfohq,Unleashed,Rental Library,
191-VHSUPY-001A,Up Your Alley,VHS,ACTIVE,1,9276651569402,yes,xlz6tlajps,Up Your Alley,Rental Library,
191-BLRVH3-50-001A,V/H/S,Blu-Ray,ACTIVE,1,9260364202234,yes,kq725fzysl,V/H/S,Rental Library,
191-BLRVH2-50-001A,V/H/S/2,Blu-Ray,ACTIVE,1,9258868408570,yes,t0by4pa93y,V/H/S/2,Rental Library,
191-BLRVHS-50-001A,V/H/S/94,Blu-Ray,ACTIVE,1,9258868211962,yes,nxi5fz541p,V/H/S/94,Rental Library,
191-BLRVHD-50-001A,V/H/S/BEYOND,Blu-Ray,ACTIVE,1,9260431409402,yes,lsvu08g7b9,V/H/S/BEYOND,Rental Library,
191-BLRVHL-50-001A,V/H/S: VIRAL,Blu-Ray,ACTIVE,1,9260364235002,yes,7f2gdochd6,V/H/S: VIRAL,Rental Library,
191-BLRVAC-50-001A,Vacation,Blu-Ray,ACTIVE,1,9258983686394,yes,j7s892dqlq,Vacation,Rental Library,
191-DVDVAN-001A,Van Helsing,DVD,ACTIVE,1,9276612247802,yes,56dna6hv9x,Van Helsing,Rental Library,
191-BLRVEN-50-001A,Venom,Blu-Ray,ACTIVE,1,9266911674618,yes,ri192inxoz,Venom,Rental Library,
191-ALFVER-50-001A,Vertigo,DVD,ACTIVE,1,9260438847738,yes,iz5do6mlqm,Vertigo,Rental Library,
191-DVDVIL-001A,Village of the Damned,DVD,ACTIVE,1,9276612182266,yes,kq7fo7aysl,Village of the Damned,Rental Library,
191-BLRWAL-50-001A,Walking Tall,Blu-Ray,ACTIVE,1,9266895519994,no,,,,
191-BLRWAR-50-001A,War for the Planet of the Apes,Blu-Ray,ACTIVE,1,9258827317498,yes,ayqfzh6psz,War for the Planet of the Apes,Rental Library,
