product_id,title,vendor,status,handle,sku,barcode,qty,tags
9267021185274,Don't Breathe 2,Blu-Ray,ACTIVE,dont-breathe-2,,191-BLRDNT-50-001A,1,"Blu-Ray, Formatted, Horror, issue:needs_new_barcode, Rental"
9266911936762,Doom / The Scorpion King / The Rundown Triple Feature,Blu-Ray,ACTIVE,doom-the-scorpion-king-the-rundown-triple-feature,,191-BLRDMT-50-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9266895552762,Doomsday,Blu-Ray,ACTIVE,doomsday,,191-BLRDOO-50-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9266894995706,Double Salvation 2-Pack (Priest / Legion),Blu-Ray,ACTIVE,double-salvation-2-pack-priest-legion,,191-BLRDOU-50-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9276612739322,Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb (Special Edition),DVD,ACTIVE,dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb-special-edition,,191-DVDDRS-001A,1,"Comedy, DVD, Formatted, issue:needs_new_barcode, Rental"
9260446318842,Dredd,Blu-Ray,ACTIVE,dredd,,191-BLRDRE-50-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9266895487226,Drive Angry,Blu-Ray,ACTIVE,drive-angry,,191-BLRDRI-50-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9266911117562,Driven,Blu-Ray,ACTIVE,driven,,191-BLRDRV-50-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9266894635258,Due Date,Blu-Ray,ACTIVE,due-date,,191-BLRDUE-50-001A,1,"Blu-Ray, Comedy, Formatted, issue:needs_new_barcode, Rental"
9276625125626,Echo Park,VHS,ACTIVE,echo-park,,191-VHSECH-001A,1,"Drama, Formatted, issue:needs_new_barcode, Rental, VHS"
9276611789050,Elizabethtown,DVD,ACTIVE,elizabethtown,,191-DVDELI-001A,1,"DVD, Formatted, issue:held_for_libib_cleanup, issue:needs_new_barcode, Rental, Romantic Comedy"
9276611166458,Enchanted,DVD,ACTIVE,enchanted,,191-DVDENC-001A,1,"DVD, Formatted, issue:held_for_libib_cleanup, issue:needs_new_barcode, Kids & Family, Rental"
9258867294458,Enter the Void (Full-Length Director's Cut),Blu-Ray,ACTIVE,enter-the-void-full-length-directors-cut,,191-BLRENT-50-001A,1,"Blu-Ray, Drama, Formatted, issue:needs_new_barcode, Rental"
9276651667706,Escape,VHS,ACTIVE,escape,,191-VHSESC-001A,0,"Action, Formatted, issue:needs_new_barcode, Rental, VHS"
9276653371642,Escape Clause,VHS,ACTIVE,escape-clause,,191-VHSSCP-001A,1,"Formatted, issue:needs_new_barcode, Rental, Thriller, VHS"
9266894373114,Everything Everywhere All at Once,Blu-Ray,ACTIVE,everything-everywhere-all-at-once,,191-BLREVE-50-001A,1,"Blu-Ray, Drama, Formatted, issue:needs_new_barcode, Rental"
9260438421754,Evil Judgment (Vinegar Syndrome),Blu-Ray,ACTIVE,evil-judgment-vinegar-syndrome,,191-BLREVI-50-001A,1,"Blu-Ray, Formatted, Horror, Rental"
9260364300538,Excision,Blu-Ray,ACTIVE,excision,,191-BLREXC-50-001A,0,"Blu-Ray, Formatted, Horror, issue:needs_new_barcode, Rental"
9266895061242,Executive Decision,Blu-Ray,ACTIVE,executive-decision,,191-BLREXE-50-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9267011846394,Extreme Prejudice,Blu-Ray,ACTIVE,extreme-prejudice,,191-BLREXT-50-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9258868637946,Faceless After Dark,Blu-Ray,ACTIVE,faceless-after-dark,,191-BLRFAC-50-001A,1,"Blu-Ray, Formatted, Horror, issue:needs_new_barcode, Rental"
