Handle,Title,Inventory,Calendar,Subscription,Resale,Membership,Active rentals,Upcoming rentals,Complete rentals
2-films-deadly-drifter-blood-tide-dvd-rental-horror,"2 Films: Deadly Drifter, Blood Tide",1,Inactive,Inactive,Inactive,Active,0,0,0
16-blocks-dvd-rental-action,16 Blocks,1,Inactive,Inactive,Inactive,Inactive,0,0,0
2-days-in-paris-dvd-rental-romantic-comedy,2 Days in Paris,1,Inactive,Inactive,Inactive,Inactive,0,0,0
irreversible-dvd-floor-sale-foreign,Irreversible,1,Inactive,Inactive,Inactive,Inactive,0,0,0
southland-tales-dvd-floor-sale-comedy,Southland Tales,1,Inactive,Inactive,Inactive,Inactive,0,0,0
tall-tales-legends-annie-oakley-vhs-rental-drama,Tall Tales & Legends: Annie Oakley,1,Inactive,Inactive,Inactive,Inactive,0,0,0
almost-vhs-rental-comedy,...Almost,1,Inactive,Inactive,Inactive,Inactive,0,0,0
friendship-bluray-rental-comedy,Friendship,1,Inactive,Inactive,Inactive,Inactive,0,0,0
galaxy-quest-vhs-rental-comedy,Galaxy Quest,1,Inactive,Inactive,Inactive,Inactive,0,0,0
malcom-x-4k-rental-criterion-collection-drama,Malcom X,0,Inactive,Inactive,Inactive,Inactive,0,0,0
the-last-waltz-bluray-rental-criterion-collection-musical,The Last Waltz,0,Inactive,Inactive,Inactive,Inactive,0,0,0
to-die-for-bluray-rental-criterion-collection-drama,To Die For,0,Inactive,Inactive,Inactive,Inactive,0,0,0
10-000-bc-dvd-rental-action,"10,000 BC",1,Inactive,Inactive,Inactive,Inactive,0,0,0
a-history-of-violence-bluray-rental-criterion-collection-action,A History of Violence,0,Inactive,Inactive,Inactive,Inactive,0,0,0
eyes-wide-shut-bluray-rental-criterion-collection-drama,Eyes Wide Shut,0,Inactive,Inactive,Inactive,Inactive,0,0,0
altered-states-bluray-rental-criterion-collection-drama,Altered States,0,Inactive,Inactive,Inactive,Inactive,0,0,0
2-days-in-the-valley-vhs-rental-thriller,2 Days in the Valley,1,Inactive,Inactive,Inactive,Active,0,0,0
rear-window-4k-rental-thriller,Rear Window,1,Active,Inactive,Inactive,Active,0,0,0
party-monster-dvd-floor-sale-drama,Party Monster,1,Inactive,Inactive,Inactive,Inactive,0,0,0
