barcode,n_variants,n_products,product_id,title,vendor,status,qty,tags
48255226,2,2,9309844570362,You Can Count on Me,VHS,ACTIVE,1,"Drama, Formatted, issue:duplicate_barcode, issue:needs_new_barcode, Rental, VHS"
48255226,2,2,9405530210554,Mary Poppins,Blu-Ray,ACTIVE,1,"Blu-Ray, Formatted, Kids & Family, Rental"
51749882,2,2,9304039325946,Double Take,VHS,ACTIVE,1,"Comedy, Formatted, Rental, VHS"
51749882,2,2,9322445635834,Divergent,Blu-Ray,ACTIVE,1,"Blu-Ray, Floor Sale, Formatted, Sci-Fi, issue:duplicate_barcode, issue:needs_new_barcode"
51848186,2,2,9304039424250,Happy Gilmore,VHS,ACTIVE,1,"Comedy, Formatted, Rental, VHS"
51848186,2,2,9322445734138,Dark Shadows,DVD,ACTIVE,1,"Comedy, DVD, Floor Sale, Formatted, issue:duplicate_barcode, issue:needs_new_barcode"
58717946,2,2,9296397369594,Gia,VHS,ACTIVE,1,"Drama, Floor Sale, Formatted, VHS"
58717946,2,2,9307260715258,Kingdom of Heaven,DVD,ACTIVE,1,"Action, DVD, Floor Sale, Formatted, issue:duplicate_barcode, issue:needs_new_barcode"
58783482,2,2,9296397435130,The Postman,VHS,ACTIVE,1,"Drama, Floor Sale, Formatted, VHS"
58783482,2,2,9307260780794,King Kong,DVD,ACTIVE,1,"Action, DVD, Floor Sale, Formatted, issue:duplicate_barcode, issue:needs_new_barcode"
58849018,2,2,9296397500666,Unlawful Entry,VHS,ACTIVE,1,"Floor Sale, Formatted, Thriller, VHS"
58849018,2,2,9307260846330,The Lincoln Lawyer,DVD,ACTIVE,1,"DVD, Drama, Floor Sale, Formatted, issue:duplicate_barcode, issue:needs_new_barcode"
59045626,2,2,9296397697274,Mean Streets,VHS,ACTIVE,1,"Drama, Floor Sale, Formatted, VHS"
59045626,2,2,9307260911866,London Has Fallen,Blu-Ray,ACTIVE,1,"Action, Blu-Ray, Floor Sale, Formatted, issue:duplicate_barcode, issue:needs_new_barcode"
59111162,2,2,9296397762810,Maximum Overdrive,VHS,ACTIVE,1,"Action, Floor Sale, Formatted, VHS"
59111162,2,2,9307260977402,John Carpenter,Blu-Ray,ACTIVE,1,"Blu-Ray, Floor Sale, Formatted, Sci-Fi, issue:duplicate_barcode, issue:needs_new_barcode"
59209466,2,2,9296397861114,Masala,VHS,ACTIVE,1,"Floor Sale, Foreign, Formatted, VHS"
59209466,2,2,9307261075706,Jarhead 3,Blu-Ray,ACTIVE,1,"Action, Blu-Ray, Floor Sale, Formatted, issue:duplicate_barcode, issue:needs_new_barcode"
59307770,2,2,9296397959418,Hard to Kill,VHS,ACTIVE,1,"Action, Floor Sale, Formatted, VHS"
59307770,2,2,9307261174010,Jack Reacher,DVD,ACTIVE,1,"Action, DVD, Floor Sale, Formatted, issue:duplicate_barcode, issue:needs_new_barcode"
