Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Country (product.metafields.custom.country),Decade (product.metafields.custom.decade),Director (product.metafields.custom.director),Format (product.metafields.custom.format),Genres (product.metafields.custom.genres),Media condition (product.metafields.custom.media_condition),Runtime (min) (product.metafields.custom.runtime),Staff pick note (product.metafields.custom.staff_pick_note),Year (product.metafields.custom.year),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target audience (product.metafields.shopify.target-audience),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Supercycle Methods (product.metafields.supercycle.methods),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cold-heart-vhs-rental-action,Cold Heart,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,99293178,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
face-vhs-rental-action,Face,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,98670586,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
wildside-crimea-of-the-century-vhs-rental-action,Wildside Crimea of the Century,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,98408442,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
state-of-grace-vhs-rental-action,State of Grace,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,98342906,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
doppelganger-the-evil-within-vhs-rental-thriller,Doppelganger The Evil Within,,VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,98015226,,,,false,,,,,,,,,,,,,thriller,,,,,,,,,,,,,,,lb,,,active
shadow-hunter-vhs-rental-action,Shadow Hunter,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,97818618,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
ball-buster-vhs-rental-action,Ball Buster,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,97753082,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
faerie-tale-theater-the-snow-queen-vhs-rental-kids-family,Faerie Tale Theater The Snow Queen,,VHS,Media > Videos,,"Formatted, Kids & Family, Rental, VHS",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,97687546,,,,false,,,,,,,,,,,,,kids-family,,,,,,,,,,,,,,,lb,,,active
delta-force-2-vhs-rental-action,Delta Force 2,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,79495674,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
runaway-bride-vhs-rental-romantic-comedy,Runaway Bride,,VHS,Media > Videos,,"Formatted, Rental, Romantic Comedy, VHS",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,79364602,,,,false,,,,,,,,,,,,,romantic-comedy,,,,,,,,,,,,,,,lb,,,active
planet-of-the-apes-vhs-rental-sci-fi,Planet of the Apes,,VHS,Media > Videos,,"Formatted, Rental, Sci-Fi, VHS",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,79331834,,,,false,,,,,,,,,,,,,sci-fi,,,,,,,,,,,,,,,lb,,,active
notorious-vhs-rental-thriller,Notorious,,VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,79266298,,,,false,,,,,,,,,,,,,thriller,,,,,,,,,,,,,,,lb,,,active
the-best-years-of-our-lives-vhs-rental-drama,The Best Years of Our Lives,,VHS,Media > Videos,,"Drama, Formatted, Rental, VHS",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,79069690,,,,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active
beauty-and-the-beast-vhs-rental-fantasy,Beauty and the Beast,,VHS,Media > Videos,,"Fantasy, Formatted, Rental, VHS",true,Genre,Fantasy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,79036922,,,,false,,,,,,,,,,,,,fantasy,,,,,,,,,,,,,,,lb,,,active
the-enforcer-vhs-rental-action,The Enforcer,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78905850,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
