call_number,barcode_status,content_status,message
191-VHSMID-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021187' | content: changed: poster
191-VHSMIL-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021194' | content: changed: poster
191-VHSMLK-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021200' | content: changed: poster
27076090,updated,updated,barcode: ok | content: changed: poster
191-VHSMSS-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021224' | content: changed: poster
191-BLRMIS-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021231' | content: changed: poster
191-VHSMST-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021248' | content: changed: poster
191-VHSMOD-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021255' | content: changed: poster
191-VHSMON-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021262' | content: changed: poster
191-VHSMNS-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021279' | content: changed: poster
191-4K2MOR-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021286' | content: changed: poster
191-VHSMOU-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021293' | content: changed: poster
191-VHSMRA-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021309' | content: changed: poster
191-VHSMRM-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021316' | content: changed: poster
191-DVDMUN-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021323' | content: changed: poster
191-BLRMUR-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021330' | content: changed: poster
191-VHSMYF-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021347' | content: changed: poster
191-BLRMYS-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021354' | content: changed: poster
191-BLRNEV-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021361' | content: changed: poster
27141626,updated,updated,barcode: ok | content: changed: poster
191-VHSNIC-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021385' | content: changed: poster
191-VHSNOS-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021392' | content: changed: poster
191-VHSNOT-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021408' | content: changed: poster
191-DVDOUT-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021415' | content: changed: poster
191-BLRPEN-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021422' | content: changed: poster
191-VHSPHI-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021439' | content: changed: poster
191-DVDPIN-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021446' | content: changed: poster
26781178,updated,updated,barcode: ok | content: changed: poster
191-DVDPIX-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021460' | content: changed: poster
191-BLRPOS-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021477' | content: changed: poster
191-BLRPOW-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021484' | content: changed: poster
191-BLRPRM-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021491' | content: changed: poster
191-DVDPUL-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021507' | content: changed: poster
26977786,updated,updated,barcode: ok | content: changed: poster
191-DVDRAG-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021521' | content: changed: poster
191-VHSRAT-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021538' | content: changed: poster
191-BLRRED-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021545' | content: changed: poster
191-BLRRIS-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021552' | content: changed: poster
191-DVDROY-002A,error,error,2 items matched this call number -- ambiguous
26912250,updated,updated,barcode: ok | content: changed: poster
191-VHSSER-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021583' | content: changed: poster
27239930,updated,updated,barcode: ok | content: changed: poster
191-BLRSHA-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021606' | content: changed: poster
191-BLRSHI-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021613' | content: changed: poster
191-VHSSHI-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021620' | content: changed: poster
191-BLRSHO-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021637' | content: changed: poster
191-VHSSHO-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021644' | content: changed: poster
191-VHSSMN-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021651' | content: changed: poster
191-BLRSKY-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021668' | content: changed: poster
191-BLRSOL-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021675' | content: changed: poster
191-VHSSPC-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021682' | content: changed: poster
191-BLRSPC-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021699' | content: changed: poster
