call_number,barcode_status,content_status,message
191-DVDNIG-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023310' | content: changed: poster
191-BLRNIG-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023327' | content: changed: poster
191-BLRNOC-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023334' | content: changed: poster
191-BLROBS-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023341' | content: changed: poster
191-BLROFF-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023358' | content: changed: poster
191-UNKONT-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023365' | content: changed: poster
191-DVDONE-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023372' | content: changed: poster
191-BLROUT-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023389' | content: changed: poster
191-BLROVE-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023396' | content: changed: poster
191-VHSOVE-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023402' | content: changed: poster
191-BLRPOI-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023419' | content: changed: poster
191-UNKPOL-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023426' | content: changed: poster
191-BLRPRO-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023433' | content: changed: poster
191-UNKPSY-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023440' | content: changed: poster
191-BLRRAM-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023457' | content: changed: poster
191-BLRREN-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023464' | content: changed: poster
191-BLRREQ-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023471' | content: changed: poster
191-BLRROB-70-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023488' | content: changed: poster
191-BLRSAL-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023495' | content: changed: poster
191-BLRSCA-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023501' | content: changed: poster
191-BLRSIC-70-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023518' | content: changed: poster
191-BLRSCR-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023525' | content: changed: poster
191-BLRSIN-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023532' | content: changed: poster
191-UNKSNI-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023549' | content: changed: poster
191-BLRSPD-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023556' | content: changed: poster
191-BLRSPE-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023563' | content: changed: poster
191-BLRSTE-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023570' | content: changed: poster
191-BLRSUI-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023587' | content: changed: poster
191-BLRSUN-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023594' | content: changed: poster
191-BLRSUP-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023600' | content: changed: poster
191-BLRTLK-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023617' | content: changed: poster
191-BLRTAL-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023624' | content: changed: poster
191-BLRTER-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023631' | content: changed: poster
191-BLRTH4-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023648' | content: changed: poster
191-BLRTHE-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023655' | content: changed: poster
191-NKNTHE-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023662' | content: changed: poster
191-4K2THE-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023679' | content: changed: poster
191-VHSTHC-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023686' | content: changed: poster
191-BLRTHD-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023693' | content: changed: poster
191-BLRTHF-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023709' | content: changed: poster
191-BLRTHH-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023716' | content: changed: poster
191-BLRTH7-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023723' | content: changed: poster
191-BLRTH2-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023730' | content: changed: poster
191-VHSTHM-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023747' | content: changed: poster
191-BLRTHN-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023754' | content: changed: poster
191-BLRTHP-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023761' | content: changed: poster
191-BLRTH9-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023778' | content: changed: poster
191-BLRTHL-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023785' | content: changed: poster
191-RRWTHE-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023792' | content: changed: poster
191-DVDTHE-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023808' | content: changed: poster
191-BLRTH6-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023815' | content: changed: poster
191-BLRTHS-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023822' | content: changed: poster
191-BLRTHG-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023839' | content: changed: poster
191-BLRTHR-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023846' | content: changed: poster
191-BLRTH3-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023853' | content: changed: poster
191-BLRTHW-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023860' | content: changed: poster
191-VHSTH2-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023877' | content: changed: poster
191-BLRTH8-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023884' | content: changed: poster
191-BLRTHI-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023891' | content: changed: poster
191-BLRTH5-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023907' | content: changed: poster
191-BLRTRA-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023914' | content: changed: poster
191-BLRTR2-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023921' | content: changed: poster
191-BLRTRN-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023938' | content: changed: poster
191-BLRTRI-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023945' | content: changed: poster
191-BLRUND-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023952' | content: changed: poster
191-BLRVH3-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023969' | content: changed: poster
191-BLRVH2-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023976' | content: changed: poster
191-BLRVHS-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023983' | content: changed: poster
191-BLRVHD-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023990' | content: changed: poster
191-BLRVHL-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000024003' | content: changed: poster
191-BLRVAC-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000024010' | content: changed: poster
191-ALFVER-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000024027' | content: changed: poster
191-BLRWAR-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000024034' | content: changed: poster
191-BLRWRL-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000024041' | content: changed: poster
191-BLRWAT-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000024058' | content: changed: poster
191-BLRWEW-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000024065' | content: changed: poster
191-BLRWER-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000024072' | content: changed: poster
191-BLRWHE-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000024089' | content: changed: poster
191-BLRWHR-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000024096' | content: changed: poster
191-BLRWHI-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000024102' | content: changed: poster
191-BLRWIS-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000024119' | content: changed: poster
191-BLRWRA-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000024126' | content: changed: poster
191-BLRZAC-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000024133' | content: changed: poster
