Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
running-scared-vhs-floor-sale-comedy,Running Scared,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,28265722,,,,false,,,,,,,,,,lb,,,active
indecent-proposal-vhs-floor-sale-drama,Indecent Proposal,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,28232954,,,,false,,,,,,,,,,lb,,,active
days-of-thunder-vhs-floor-sale-action,Days of Thunder,,VHS,Uncategorized,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,2,deny,manual,8.00,,true,true,,,,,28200186,,,,false,,,,,,,,,,lb,,,active
out-of-time-vhs-floor-sale-thriller,Out of Time,,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,28167418,,,,false,,,,,,,,,,lb,,,active
on-golden-pond-vhs-floor-sale-drama,On Golden Pond,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,28134650,,,,false,,,,,,,,,,lb,,,active
a-perfect-murder-vhs-floor-sale-thriller,A Perfect Murder,,VHS,Uncategorized,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,2,deny,manual,6.00,,true,true,,,,,28101882,,,,false,,,,,,,,,,lb,,,active
runaway-bride-vhs-floor-sale-romantic-comedy,Runaway Bride,,VHS,,,"Floor Sale, Romantic Comedy",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,27970810,,,,false,,,,,,,,,,lb,,,active
finians-rainbow-vhs-floor-sale-musical,Finian's Rainbow,,VHS,,,"Floor Sale, Musical",true,Genre,Musical,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,27774202,,,,false,,,,,,,,,,lb,,,active
the-color-of-money-vhs-floor-sale-drama,The Color of Money,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,27741434,,,,false,,,,,,,,,,lb,,,active
the-american-president-vhs-floor-sale-romantic-comedy,The American President,,VHS,,,"Floor Sale, Romantic Comedy",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,27610362,,,,false,,,,,,,,,,lb,,,active
chicago-vhs-floor-sale-chicago,Chicago,,VHS,Uncategorized,,"Chicago, Floor Sale",true,Genre,Chicago,,,,,,,,,0.0,shopify,2,deny,manual,6.00,,true,true,,,,,27577594,,,,false,,,,,,,,,,lb,,,active
air-force-one-vhs-floor-sale-thriller,Air Force One,,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,27544826,,,,false,,,,,,,,,,lb,,,active
steel-magnolias-vhs-floor-sale-comedy,Steel Magnolias,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,27512058,,,,false,,,,,,,,,,lb,,,active
scorpio-vhs-floor-sale-thriller,Scorpio,,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,27479290,,,,false,,,,,,,,,,lb,,,active
shenandoa-vhs-floor-sale-drama,Shenandoa,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,27086074,,,,false,,,,,,,,,,lb,,,active
sahara-vhs-floor-sale-action,Sahara,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,27053306,,,,false,,,,,,,,,,lb,,,active
the-assignment-vhs-floor-sale-thriller,The Assignment,,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,14990842,,,,false,,,,,,,,,,lb,,,active
live-and-let-die-vhs-floor-sale-action,Live and Let Die,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,14958074,,,,false,,,,,,,,,,lb,,,active
finding-neverland-dvd-floor-sale-kids-family,Finding Neverland,,DVD,,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,14925306,,,,false,,,,,,,,,,lb,,,active
flyboys-bluray-floor-sale-action,Flyboys,,Blu-Ray,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,14859770,,,,false,,,,,,,,,,lb,,,active
the-fault-in-our-stars-bluray-floor-sale-drama,The Fault in Our Stars,,Blu-Ray,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,14827002,,,,false,,,,,,,,,,lb,,,active
full-metal-jacket-bluray-floor-sale-drama,Full Metal Jacket,,Blu-Ray,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,14761466,,,,false,,,,,,,,,,lb,,,active
cloverfield-bluray-floor-sale-sci-fi,Cloverfield,,Blu-Ray,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,14728698,,,,false,,,,,,,,,,lb,,,active
the-devils-own-dvd-floor-sale-thriller,The Devil's Own,,DVD,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,14695930,,,,false,,,,,,,,,,lb,,,active
die-hard-bluray-floor-sale-thriller,Die Hard,,Blu-Ray,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,14630394,,,,false,,,,,,,,,,lb,,,active
a-good-day-to-die-hard-bluray-floor-sale-thriller,A Good Day to Die Hard,,Blu-Ray,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,14597626,,,,false,,,,,,,,,,lb,,,active
die-hard-with-a-vengeance-bluray-floor-sale-thriller,Die Hard With A Vengeance,,Blu-Ray,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,14564858,,,,false,,,,,,,,,,lb,,,active
